Time,aX,aY,aZ,gX,gY,gZ,Prs,mX,mY,mZ,state
2.006,-0.177246,-0.0625,4.351562,12.18957905,14.32867303,-58.88581155,99820.0012,0.029878,0.151539,0.616437,1
2.016,-0.145508,-0.072266,4.333984,11.88470105,14.26769703,-58.58093355,99808.0017,0.019783,0.149629,0.622856,1
2.026,-0.123535,-0.109375,4.337402,11.94567705,14.63355003,-58.39800755,99791.9983,0.018919,0.148775,0.631156,1
2.036,-0.07666,-0.145996,4.281738,11.57982205,12.98720903,0.321507455,99766.9983,0.028804,0.14959,0.615117,1
2.046,-0.057129,-0.152832,4.268066,11.09201805,14.02379503,-57.23946855,99786.9995,0.018332,0.1499,0.625914,1
2.056,-0.04541,-0.154297,4.232422,10.97006705,14.08477003,-56.81263855,99766.9983,0.032777,0.141077,0.622103,1
2.066,-0.023438,-0.195312,4.216309,10.36031005,13.53598903,-56.01995555,99741.9983,0.016662,0.150213,0.62213,1
2.076,0.024414,-0.22168,4.190918,9.567628045,12.98720903,-55.22727255,99717.9993,0.01373,0.150135,0.628182,1
2.086,0.068359,-0.174805,4.153809,9.140798045,12.37745303,-54.49556855,99709.9976,0.034108,0.139138,0.621253,1
2.096,0.110352,-0.196777,4.14209,8.652994045,12.25550203,-53.88581155,99672.998,0.017675,0.149987,0.624241,1
2.106,0.12793,-0.234375,4.110352,8.104213045,11.27989203,-52.84922555,99659.9976,0.012861,0.147744,0.627787,1
2.116,0.137207,-0.259766,4.078613,7.067627045,10.18233103,-51.69069055,99655.9998,0.019432,0.146888,0.633065,1
2.126,0.163086,-0.249023,4.056152,6.823725045,9.87745303,-50.95898155,99644.0002,0.015756,0.147866,0.63073,1
2.136,0.193359,-0.243164,4.038086,5.909091045,8.17013603,-49.98337255,99640.0024,0.027681,0.146797,0.619398,1
2.146,0.197754,-0.259277,4.249512,0.970066045,-0.54937697,0.321507455,99603.0029,0.019621,0.145981,0.627704,1
2.156,0.183105,-0.289551,3.989746,4.811530045,7.19452603,-48.33702955,99586.9995,0.013649,0.148352,0.632608,1
2.166,0.207031,-0.280762,3.96875,4.079822045,5.73111103,-47.23946855,99558.0017,0.008831,0.152367,0.628051,1
2.176,0.214355,-0.270508,3.927246,3.531042045,4.63355003,-46.56873755,99558.0017,0.016621,0.147592,0.634255,1
2.186,0.208008,-0.256348,3.925293,3.104213045,4.02379403,-45.83702955,99550,0.028895,0.14387,0.619157,1
